#SOD    DOY YEAR  NSATS   RX-LAT[DEG]     RX-LON[DEG]   RX-ALT[m]       EPE[m]   NPE[m]   UPE[m]  SIG-EPE  SIG-NPE  SIG-UPE   GDOP      PDOP     TDOP     HDOP     VDOP
 450.0   6 2015    7    43.428562169     1.497033357   252.188400000    0.816   -0.507   -1.267    3.619    4.587    9.513    2.587    2.233    1.307    1.159    1.908
 455.0   6 2015    7    43.428564184     1.497031032   253.272300000    0.628   -0.283   -0.183    3.620    4.588    9.509    2.587    2.232    1.307    1.160    1.907
 460.0   6 2015    7    43.428562691     1.497030925   251.473200000    0.619   -0.449   -1.982    3.621    4.590    9.505    2.586    2.232    1.306    1.160    1.907
 465.0   6 2015    7    43.428562847     1.497035163   252.779500000    0.962   -0.432   -0.675    3.622    4.591    9.501    2.585    2.231    1.306    1.160    1.906
 470.0   6 2015    7    43.428560911     1.497034169   252.770100000    0.882   -0.647   -0.685    3.623    4.593    9.497    2.584    2.231    1.305    1.161    1.905
 475.0   6 2015    7    43.428561806     1.497032893   252.817200000    0.778   -0.547   -0.638    3.624    4.594    9.493    2.584    2.230    1.304    1.161    1.904
 480.0   6 2015    7    43.428560754     1.497028945   252.107600000    0.459   -0.664   -1.347    3.625    4.596    9.489    2.583    2.230    1.304    1.161    1.904
 485.0   6 2015    7    43.428564704     1.497026867   253.794500000    0.290   -0.225    0.340    3.626    4.597    9.486    2.583    2.229    1.303    1.162    1.903
 490.0   6 2015    7    43.428563634     1.497030817   253.229500000    0.610   -0.344   -0.226    3.627    4.599    9.482    2.582    2.229    1.303    1.162    1.902
 495.0   6 2015    7    43.428565123     1.497029319   251.727700000    0.489   -0.179   -1.727    3.628    4.600    9.478    2.581    2.228    1.302    1.163    1.901
 500.0   6 2015    7    43.428560414     1.497036351   253.193400000    1.058   -0.702   -0.262    3.629    4.602    9.474    2.580    2.228    1.302    1.163    1.901
 505.0   6 2015    7    43.428562252     1.497034588   253.521500000    0.916   -0.498    0.067    3.630    4.604    9.470    2.580    2.228    1.301    1.163    1.900
 510.0   6 2015    7    43.428563205     1.497030018   253.161700000    0.545   -0.392   -0.293    3.631    4.605    9.466    2.579    2.227    1.301    1.164    1.899
 515.0   6 2015    7    43.428561870     1.497032119   252.521800000    0.716   -0.540   -0.933    3.633    4.606    9.462    2.578    2.227    1.300    1.164    1.898
 520.0   6 2015    7    43.428561961     1.497031858   253.105900000    0.695   -0.530   -0.349    3.634    4.608    9.458    2.578    2.226    1.300    1.164    1.897
 525.0   6 2015    7    43.428562291     1.497031211   252.556000000    0.642   -0.493   -0.899    3.635    4.610    9.454    2.577    2.226    1.299    1.165    1.897
 530.0   6 2015    7    43.428560959     1.497031460   253.409900000    0.662   -0.641   -0.045    3.636    4.611    9.451    2.576    2.225    1.298    1.165    1.896
 535.0   6 2015    7    43.428556875     1.497029905   252.381200000    0.536   -1.095   -1.074    3.637    4.613    9.447    2.576    2.225    1.298    1.165    1.895
